"İsim","Sembol","Fiyat","(24S) Hac.","Toplam Hac.","Değ (24S)","Değ (7G)","Piyasa değeri"
"Bitcoin","BTC","$107.935,8","$45,90B","45,97%","0,49%","4,50%","$2,14T"
"Ethereum","ETH","$2.533,08","$11,38B","12,64%","0,21%","2,24%","$305,57B"
"Tether USDt","USDT","$0,9984","$60,43B","63,53%","0,03%","0,01%","$152,76B"
"XRP","XRP","$2,3300","$1,50B","1,83%","1,69%","-0,91%","$136,91B"
"BNB","BNB","$666,71","$1,48B","1,51%","1,88%","4,49%","$94,16B"
"Solana","SOL","$176,452","$3,00B","3,38%","1,26%","6,09%","$91,59B"
"USDC","USDC","$0,9997","$7,38B","8,01%","0,02%","0,01%","$61,74B"
"Dogecoin","DOGE","$0,225670","$1,22B","1,40%","0,21%","4,94%","$33,66B"
"Cardano","ADA","$0,7471","$606,04M","0,68%","0,11%","0,65%","$26,40B"
"TRON","TRX","$0,270388","$489,89M","0,55%","0,71%","0,31%","$25,66B"
"Sui","SUI","$3,6493","$695,45M","0,79%","1,43%","-4,64%","$12,11B"
"Hyperliquid","HYPE","$34,9821","$305,81M","0,31%","6,45%","34,81%","$11,64B"
"Chainlink","LINK","$15,37","$324,60M","0,37%","-1,07%","0,23%","$10,09B"
"Avalanche","AVAX","$23,02","$331,30M","0,38%","-0,23%","3,55%","$9,68B"
"Stellar","XLM","$0,28615","$145,48M","0,17%","0,39%","-0,08%","$8,90B"
"Shiba Inu","SHIB","$0,00001442","$161,59M","0,20%","0,77%","1,49%","$8,48B"
"Bitcoin Cash","BCH","$421,17","$240,41M","0,26%","-0,84%","7,63%","$8,38B"
"UNUS SED LEO","LEOu","$8,7953","$1,89M","0,00%","0,24%","-1,51%","$8,13B"
"Hedera","HBAR","$0,18863","$117,75M","0,13%","-0,82%","-1,28%","$7,96B"
"Toncoin","TON","$3,0377","$114,42M","0,12%","1,95%","-1,40%","$7,56B"
